CART,Qty,Value,Device,Package,Parts,Description,AVAILABILITY,CATEGORY,DESCRIPTION,HEIGHT,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,MPN,OC_FARNELL,OC_NEWARK,OPERATING_TEMP,OPERATING_TEMPERATURE,PACKAGE,PART_STATUS,POPULARITY,PRICE,PURCHASE-URL,ROHS_COMPLIANCE,ROHS_COMPLIANT,SERIES,SPICEPREFIX,SUB-CATEGORY,THERMALLOSS,TYPE
10,1,,BEAD0805,805,B1,Ferrite Bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,DCJ0303,DCJ0303,12V_DC,DC POWER JACK,,,,,,,,,,,,,unknown,unknown,,,,,20,,,,,,,,,
,1,,LEDSMT1206,1206,LED1,LED,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
,1,,PINHD-2X2,2X02,LSWITCH,PIN HEADER,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,3,0.1uF,C-USC0805,C0805,"C3, C4, C5","CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,63,,,,,,C,,,
,2,100uF,CPOL-USE2.5-6,"E2,5-6","C1, C2","POLARIZED CAPACITOR, American symbol",,,,,,,,,,,,,,,,,,,14,,,,,,C,,,
,1,100Ω,R-US_R0805,R0805,R5,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,85,,,,,,R,,,
,1,10kΩ,PV36Z,PV36Z,R1,Rectangular Trimmer Potentiometers - PV36 Series,,Resistor,Lead Sealed Type Multiturn PV36 Series,,BOURNS,,,,,,,PV36Z,,,, -55 to +125 °C,,Active,,,,RoHS Compliant,,PV36,,Trimpot,,Lead Sealed
,4,10kΩ,R-US_R0805,R0805,"R2, R6, R7, R8","RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,85,,,,,,R,,,
,1,180Ω,R-US_R0805,R0805,R3,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,85,,,,,,R,,,
,2,1N4004,1N4004,DO41-10,"D1, D2",DIODE,,,,,,,,,,,,,,,,,,,82,,,,,,,,,
,1,1kΩ,R-US_R0805,R0805,R4,"RESISTOR, American symbol",,,,,,,,,,,,,,,,,,,85,,,,,,R,,,
,1,KEEYEES_ESP32,KEEYEES_ESP32,KEEYEES_ESP32,ESP32,"Footprint for an add-on board (shield, hat, etc.) for a KeeYees ESP32 development board with ESP-WROOM-32 module.  38 pins.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,LM393D,LM393D,LM393D,U$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,PINHD-1X2,PINHD-1X2,1X02,"5V_JUMP, ELECTROMAGNET",PIN HEADER,,CONNECTOR,,,,,,,,,,,,,,,,,,,,,,,,PIN-HEADER,,
,3,PINHD-1X4,PINHD-1X4,1X04,"MPM3610, STEPPER1, STEPPER2",PIN HEADER,,CONNECTOR,,,,,,,,,,,,,,,,,,,,,,,,PIN-HEADER,,
,1,PINHD-2X2,PINHD-2X2,2X02,TCRT5000,PIN HEADER,,CONNECTOR,,,,,,,,,,,,,,,,,,,,,,,,PIN-HEADER,,
,1,PMV16XNR,PMV16XNR,SOT95P230X110-3N,Q1,"Nexperia PMV16XNR N-channel MOSFET, 8.6 A, 20 V PMV16XN, 3-Pin SOT-23",,,"Nexperia PMV16XNR N-channel MOSFET, 8.6 A, 20 V PMV16XN, 3-Pin SOT-23",1.1mm,,Nexperia,PMV16XNR,,771-PMV16XNR,https://www.mouser.co.uk/ProductDetail/Nexperia/PMV16XNR?qs=%252BRKXB2WKlSfp5fVW5DDV6w%3D%3D,,,,,,,,,,,,,,,,,,
,2,TMC2208_SILENTSTEPSTICK,TMC2208_SILENTSTEPSTICK,MODULE_TMC2208_SILENTSTEPSTICK,"DRIVER1, DRIVER2","TMC2208 Motor Controller/Driver, Stepper Power Management Evaluation Board  Check availability",In Stock,," TMC2208 Motor Controller/Driver, Stepper Power Management Evaluation Board ",,,,,Trinamic Motion,,,TMC2208 SILENTSTEPSTICK,,,,,,None,,,None,https://pricing.snapeda.com/search/part/TMC2208 SILENTSTEPSTICK/?ref=eda,,,,,,,
